Number of Run,k_f,Noise Level,Figure of Merit
1,300000,-180,44.4158307202969
2,300000,-180,45.0367341137913
3,300000,-180,44.4525070366279
4,300000,-180,44.506897061642
5,300000,-180,44.2650607242473
6,300000,-180,44.4443611047597
7,300000,-180,44.517292900406
8,300000,-180,44.7756323196332
9,300000,-180,44.9834255137678
10,300000,-180,44.7061371069067
1,300000,-179,44.3346631817609
2,300000,-179,44.6587288061496
3,300000,-179,44.3842965282606
4,300000,-179,44.4452715446173
5,300000,-179,44.8858633809645
6,300000,-179,44.5223314217996
7,300000,-179,44.6387223764393
8,300000,-179,44.8098971198639
9,300000,-179,44.3364456577899
10,300000,-179,44.6856510801539
1,300000,-178,44.6967079998932
2,300000,-178,44.6673661173538
3,300000,-178,44.3290817334954
4,300000,-178,44.4652453169611
5,300000,-178,44.4551410886933
6,300000,-178,44.3039299229876
7,300000,-178,44.5676587099646
8,300000,-178,44.6309199270827
9,300000,-178,44.3696295419331
10,300000,-178,44.4715637827901
1,300000,-177,44.4011460246822
2,300000,-177,44.8308907781374
3,300000,-177,44.7454976066799
4,300000,-177,44.6257553243667
5,300000,-177,44.4199507351006
6,300000,-177,44.5938247787568
7,300000,-177,44.3802039289223
8,300000,-177,44.7931444892752
9,300000,-177,44.3204265461033
10,300000,-177,44.4259343840397
1,300000,-176,44.5046528700365
2,300000,-176,44.6022405757614
3,300000,-176,44.552632811691
4,300000,-176,44.6094376793342
5,300000,-176,44.8600668088002
6,300000,-176,44.7006289132093
7,300000,-176,44.6441595456604
8,300000,-176,45.1525864142234
9,300000,-176,44.78606019962
10,300000,-176,44.6712138155883
1,300000,-175,44.9630172860881
2,300000,-175,44.5528352656936
3,300000,-175,44.4709594473742
4,300000,-175,44.5559994755865
5,300000,-175,44.6907806911694
6,300000,-175,44.6293875811438
7,300000,-175,44.7089425603428
8,300000,-175,44.3005109800756
9,300000,-175,44.5286454247611
10,300000,-175,44.6072474037034
1,300000,-174,44.9618248188177
2,300000,-174,44.495411829138
3,300000,-174,44.7386594965892
4,300000,-174,44.8558466212177
5,300000,-174,44.6059359856855
6,300000,-174,44.8384515024329
7,300000,-174,44.8027331594801
8,300000,-174,44.7671754175552
9,300000,-174,44.7208780073148
10,300000,-174,44.6978184408044
1,300000,-173,44.7207121411877
2,300000,-173,44.8459764291035
3,300000,-173,44.76111712374
4,300000,-173,44.8261447412343
5,300000,-173,44.5591441285295
6,300000,-173,44.9637938816616
7,300000,-173,44.4758819714064
8,300000,-173,44.924677770436
9,300000,-173,44.6240929871296
10,300000,-173,44.6040544512463
1,300000,-172,44.7322374101969
2,300000,-172,44.8347343243309
3,300000,-172,44.8385893369607
4,300000,-172,44.8983401490183
5,300000,-172,44.6130637718504
6,300000,-172,44.7200297351875
7,300000,-172,44.7483609639169
8,300000,-172,44.4590982127165
9,300000,-172,44.6954811567303
10,300000,-172,44.8347851720268
1,300000,-171,44.5323344687081
2,300000,-171,44.5524377938408
3,300000,-171,44.845553148494
4,300000,-171,45.1086198763568
5,300000,-171,44.6770744934106
6,300000,-171,44.9433350780915
7,300000,-171,44.6463942157239
8,300000,-171,44.813312451928
9,300000,-171,44.776094995815
10,300000,-171,44.8857291426826
1,300000,-170,44.5900987252067
2,300000,-170,44.5512888445184
3,300000,-170,44.7675078126984
4,300000,-170,44.8746287704937
5,300000,-170,44.5563006845703
6,300000,-170,44.7488096656436
7,300000,-170,44.7335402437705
8,300000,-170,44.717926526222
9,300000,-170,44.8490738922139
10,300000,-170,44.8896977064089
1,400000,-180,45.9027905563445
2,400000,-180,46.073166128071
3,400000,-180,46.259740369863
4,400000,-180,46.1759416885506
5,400000,-180,46.4217778134845
6,400000,-180,46.1106129873736
7,400000,-180,45.8558358050402
8,400000,-180,45.7804840734592
9,400000,-180,46.3537723016783
10,400000,-180,45.8883833246681
1,400000,-179,46.2833266073025
2,400000,-179,45.9903151693236
3,400000,-179,46.1427994987938
4,400000,-179,45.8534657864736
5,400000,-179,46.1725108177796
6,400000,-179,46.3473180960718
7,400000,-179,45.8731121370244
8,400000,-179,46.3249086164987
9,400000,-179,46.1232975540257
10,400000,-179,45.99598816073
1,400000,-178,46.2746260579942
2,400000,-178,46.2691382597163
3,400000,-178,46.0441776396136
4,400000,-178,45.9238939451917
5,400000,-178,46.2990389644133
6,400000,-178,46.3318330143469
7,400000,-178,45.9095401663701
8,400000,-178,46.3026814654019
9,400000,-178,45.9361367780743
10,400000,-178,46.071359875869
1,400000,-177,46.3094970531418
2,400000,-177,46.2663699790199
3,400000,-177,46.0929706539917
4,400000,-177,46.1425283281067
5,400000,-177,46.0358946190482
6,400000,-177,46.1211590760899
7,400000,-177,46.15616924014
8,400000,-177,46.1647355349422
9,400000,-177,46.0928593609213
10,400000,-177,46.2055968298536
1,400000,-176,46.3682156617145
2,400000,-176,46.1220644519678
3,400000,-176,46.174330362929
4,400000,-176,46.0306950488866
5,400000,-176,46.365705354914
6,400000,-176,46.247097702236
7,400000,-176,45.9388823196206
8,400000,-176,45.9756056804201
9,400000,-176,46.4470204564865
10,400000,-176,46.3746260133751
1,400000,-175,46.2858664359439
2,400000,-175,46.4052233979071
