Number of Run,k_f,Noise Level in dBm,Figure of Merit
1,300000,1.57490855885836e-13,44.6195761454389
2,300000,1.57259967545341e-13,44.625947760236
3,300000,1.63171261139606e-13,44.4656928754557
4,300000,1.56692501349627e-13,44.6416474428482
5,300000,1.51404077264322e-13,44.7907538699022
6,300000,1.48497107443233e-13,44.8749496355877
7,300000,1.6447758747639e-13,44.4310623050669
8,300000,1.63147565246516e-13,44.4663236080276
9,300000,1.61682779996103e-13,44.5054918983507
10,300000,1.54506217985375e-13,44.7026699576189
1,300000,2.19172527993647e-13,44.1842684079899
2,300000,1.97150949945593e-13,44.6441408372156
3,300000,2.08631531321963e-13,44.398330120042
4,300000,2.07479803768835e-13,44.4223712915317
5,300000,2.1634556319444e-13,44.2406496459256
6,300000,2.09917957823889e-13,44.3716336502149
7,300000,1.86467838309897e-13,44.8860902157606
8,300000,1.92907722738786e-13,44.7386334347915
9,300000,1.99261239938812e-13,44.597901292602
10,300000,2.04024761694016e-13,44.4953007846443
1,300000,2.53182767541758e-13,44.5577881489648
2,300000,2.49807482053356e-13,44.6160751581825
3,300000,2.50673363280056e-13,44.6010476973937
4,300000,2.65259942361918e-13,44.3554128680387
5,300000,2.61257633104387e-13,44.4214396973915
6,300000,2.49508061929053e-13,44.6212837492192
7,300000,2.4457686119786e-13,44.7079759059164
8,300000,2.59137074405497e-13,44.4568340634615
9,300000,2.52212192041902e-13,44.5744688100619
10,300000,2.44467811418295e-13,44.7099127317711
1,300000,3.11982656853779e-13,44.6508250550897
2,300000,3.04863156424462e-13,44.7510801590696
3,300000,3.02977720003157e-13,44.7780226465419
4,300000,3.07555925683544e-13,44.7128885872883
5,300000,3.21593991004115e-13,44.5190503238256
6,300000,3.13564130955538e-13,44.628865804324
7,300000,3.05697998204284e-13,44.739203628719
8,300000,3.09815046310497e-13,44.6811045207894
9,300000,3.05225843300881e-13,44.7459165541623
10,300000,3.0967272120471e-13,44.6831000729991
1,300000,3.97552725716477e-13,44.5981822229526
2,300000,3.83299294021962e-13,44.7567493837416
3,300000,4.04286998206192e-13,44.5252318299654
4,300000,3.86078987599029e-13,44.7253679199447
5,300000,4.06122946125743e-13,44.5055542971275
6,300000,3.82409730298796e-13,44.7668402349085
7,300000,4.37288893682515e-13,44.1844451050607
8,300000,3.91552612559715e-13,44.6642283166617
9,300000,4.00133181880235e-13,44.5700839007616
10,300000,4.25284501570132e-13,44.3053340149962
1,300000,4.35339199489612e-13,45.2038518338834
2,300000,4.90938498657295e-13,44.6818586757183
3,300000,5.04120547640091e-13,44.5667855835398
4,300000,4.86882842284392e-13,44.7178848741606
5,300000,4.79684097400159e-13,44.7825763685406
6,300000,5.1614648940375e-13,44.4643997991502
7,300000,4.81409248060653e-13,44.7669852873931
8,300000,4.73834919169794e-13,44.8358589491468
9,300000,5.16323523393735e-13,44.4629104602878
10,300000,5.24261923065794e-13,44.3966464150169
1,300000,5.84007783016491e-13,44.9279432277351
2,300000,6.27382789765645e-13,44.6168035667684
3,300000,6.17358969697121e-13,44.6867519527224
4,300000,5.76519333607219e-13,44.9839908176196
5,300000,6.23027737455469e-13,44.6470557566439
6,300000,6.05747114108306e-13,44.7692160397102
7,300000,6.05710094389166e-13,44.7694814631958
8,300000,5.88577082349048e-13,44.8940960992349
9,300000,6.13040834489943e-13,44.7172355400199
10,300000,5.75801766007036e-13,44.9893996518332
1,300000,7.7796794073711e-13,44.6825125719879
2,300000,7.93361219941007e-13,44.5974198969124
3,300000,7.43849098590608e-13,44.8772811666452
4,300000,7.08465626446458e-13,45.0889417386481
5,300000,7.93373322565328e-13,44.5973536463479
6,300000,7.72250670092708e-13,44.7145466390891
7,300000,7.90704874756604e-13,44.6119854146119
8,300000,7.64477500828003e-13,44.7584824941651
9,300000,7.83927351682076e-13,44.6493714022709
10,300000,7.87310649018074e-13,44.6306683205746
1,300000,1.02659848846564e-12,44.4781233724357
2,300000,9.36175526766781e-13,44.8785567398844
3,300000,9.87877240671034e-13,44.6450997772494
4,300000,9.33383806730897e-13,44.8915269568338
5,300000,9.23795744143536e-13,44.9363700057235
6,300000,9.40623983579065e-13,44.8579690974238
7,300000,9.19864630301241e-13,44.9548903759654
8,300000,9.0463383780908e-13,45.0274012923656
9,300000,9.95544365414785e-13,44.6115233904259
10,300000,9.40714295189327e-13,44.8575521406812
1,300000,1.17324580584444e-12,44.8982394736806
2,300000,1.17107052412127e-12,44.9062990781632
3,300000,1.15054104738284e-12,44.9831084029812
4,300000,1.21716221541367e-12,44.7386449571256
5,300000,1.18399378294394e-12,44.8586353577844
6,300000,1.24990783573276e-12,44.623349670446
7,300000,1.29654169992757e-12,44.4642646843146
8,300000,1.11852792226843e-12,45.1056612768782
9,300000,1.19657597840171e-12,44.8127267771592
10,300000,1.17782218276131e-12,44.88133228289
1,300000,1.59056990518586e-12,44.5766019671935
2,300000,1.48096824464505e-12,44.8866721137442
3,300000,1.63847174215064e-12,44.4477400198857
4,300000,1.51320264926351e-12,44.7931586475665
5,300000,1.60597195736975e-12,44.5347500013691
6,300000,1.60481177363485e-12,44.5378885585452
7,300000,1.56645206797958e-12,44.6429584732436
8,300000,1.45129732976385e-12,44.9745656152018
9,300000,1.54701621132628e-12,44.6971809299061
10,300000,1.53339707656387e-12,44.7355832679152
1,400000,1.94563397380402e-13,46.1992461393712
2,400000,1.87313238662518e-13,46.3641728213845
3,400000,2.07038218380259e-13,45.9293523327158
4,400000,2.05149725366878e-13,45.9691481514002
5,400000,2.03058803463689e-13,46.0136393230596
6,400000,2.0461848491071e-13,45.9804089042918
7,400000,1.99460849330015e-13,46.0912809106494
8,400000,1.87281197510841e-13,46.3649157739784
9,400000,1.9321277992626e-13,46.229499059161
10,400000,1.96621930889721e-13,46.1535379835854
1,400000,2.42466776513745e-13,46.2433351630333
2,400000,2.53935569586357e-13,46.0426221687087
