Number of Run,k_f,Noise Level,Figure of Merit
1,300000,-180,44.3731776988469
2,300000,-180,44.4876660156757
3,300000,-180,44.5102210823162
4,300000,-180,44.7063177495494
5,300000,-180,44.4098519209776
6,300000,-180,44.6355210982939
7,300000,-180,44.4916854565709
8,300000,-180,44.5526216057832
9,300000,-180,44.7377516162305
10,300000,-180,45.0046547617864
1,300000,-179,44.5352166497131
2,300000,-179,44.3991592612334
3,300000,-179,44.426933698222
4,300000,-179,44.2850129304319
5,300000,-179,44.7768619776992
6,300000,-179,44.738785349127
7,300000,-179,44.3803934481987
8,300000,-179,44.3862430512646
9,300000,-179,44.3979245337585
10,300000,-179,44.4553682139411
1,300000,-178,44.7239727857494
2,300000,-178,44.2843599348645
3,300000,-178,44.4293469399447
4,300000,-178,44.2853885033282
5,300000,-178,44.4732530696017
6,300000,-178,44.5343109682914
7,300000,-178,44.4201968913665
8,300000,-178,44.4944906794991
9,300000,-178,44.6834962190905
10,300000,-178,44.4638924667556
1,300000,-177,44.5982329213258
2,300000,-177,44.5605130433554
3,300000,-177,44.6815001547647
4,300000,-177,44.6715539186635
5,300000,-177,44.8463595749935
6,300000,-177,44.8184636479224
7,300000,-177,44.9147843925087
8,300000,-177,44.7849631766807
9,300000,-177,44.6222227881389
10,300000,-177,44.6363071812936
1,300000,-176,44.6932625734507
2,300000,-176,44.600063009306
3,300000,-176,44.5132354926638
4,300000,-176,44.5455438110942
5,300000,-176,44.7092202158865
6,300000,-176,44.5870596733577
7,300000,-176,44.8817022323334
8,300000,-176,45.1088268157186
9,300000,-176,44.3293106554763
10,300000,-176,44.8927321994348
1,300000,-175,44.745643235525
2,300000,-175,44.8738313455594
3,300000,-175,44.5989182581499
4,300000,-175,44.6806380039942
5,300000,-175,44.6781624926375
6,300000,-175,44.4464097748743
7,300000,-175,44.919220415452
8,300000,-175,44.4443799801844
9,300000,-175,44.8177732885511
10,300000,-175,44.430743709411
1,300000,-174,44.8342386790601
2,300000,-174,44.8568512740531
3,300000,-174,44.4900606759088
4,300000,-174,44.8481914659129
5,300000,-174,44.8078551106685
6,300000,-174,44.5661635155609
7,300000,-174,44.8649553713443
8,300000,-174,44.8271733453649
9,300000,-174,44.6341851256529
10,300000,-174,44.4723810153563
1,300000,-173,44.466998026863
2,300000,-173,44.6330644494127
3,300000,-173,44.3539119607575
4,300000,-173,44.8102620679511
5,300000,-173,44.7359244372907
6,300000,-173,44.6391745376511
7,300000,-173,44.811112881546
8,300000,-173,45.1978351051213
9,300000,-173,44.6102416030542
10,300000,-173,44.8259757312616
1,300000,-172,44.7444083729249
2,300000,-172,44.8965618949742
3,300000,-172,44.9127803311127
4,300000,-172,44.6171722591624
