k_f,Noise Level,Average Figure of Merit
300000,-180,1433.65902751892
300000,-178,1433.78248321684
300000,-176,1433.36032254263
300000,-174,1433.54233441843
300000,-172,1433.50275689773
300000,-170,1433.63971409342
400000,-180,3135.38734625221
400000,-178,3135.49277427688
400000,-176,3135.59578576157
400000,-174,3135.1894062912
400000,-172,3135.25314099059
400000,-170,3135.23630489722
500000,-180,3474.68188990389
500000,-178,3474.41648979071
500000,-176,3475.49064595706
500000,-174,3475.13715205125
500000,-172,3474.75217058465
500000,-170,3474.16060375343
600000,-180,7020.7758812033
600000,-178,7017.90744410106
600000,-176,7016.52616218561
600000,-174,7016.27868710879
600000,-172,7013.9067519804
600000,-170,7014.53743821394
700000,-180,9525.32775552488
700000,-178,9522.21989416368
700000,-176,9524.82128137569
700000,-174,9526.90649918614
700000,-172,9525.85770106839
700000,-170,9528.74592755885
800000,-180,10537.1303472871
800000,-178,10539.863384248
800000,-176,10557.9269246267
800000,-174,10541.6519597392
800000,-172,10543.857301818
800000,-170,10548.1884759498
