k_f,Noise Level,Average Figure of Merit
300000,-180,1029.31811898283
300000,-178,1029.2379382407
300000,-176,1029.34851185554
300000,-174,1029.61172866531
300000,-172,1029.35812941627
300000,-170,1029.57835356597
400000,-180,4016.05380883
400000,-178,4016.57388810348
400000,-176,4017.89977519674
400000,-174,4017.08594704947
400000,-172,4016.41689642474
400000,-170,4016.67260002024
500000,-180,5236.50339938907
500000,-178,5234.11027452136
500000,-176,5233.41590131011
500000,-174,5235.28656275346
500000,-172,5235.89910902291
500000,-170,5234.66421802777
600000,-180,1215.98342517144
600000,-178,1216.25017722915
600000,-176,1215.20456125421
600000,-174,1215.19640334621
600000,-172,1215.80192033436
600000,-170,1215.71598621406
700000,-180,10539.8360364954
700000,-178,10539.6434593429
700000,-176,10543.5961924335
700000,-174,10544.3925911396
700000,-172,10544.2580610889
700000,-170,10542.0574346779
800000,-180,13948.5340531086
800000,-178,13960.603887763
800000,-176,13954.787440778
800000,-174,13956.5329642134
800000,-172,13959.8693488022
800000,-170,13960.5505492183
